"","Assembly.Accession","Assembly.Level","Assembly.Stats.Contig.N50","Assembly.Stats.Scaffold.N50","Organism.Name","Assembly.Submission.Date","file"
"6","GCA_003731715.1","Scaffold",36058,4459447,"Anabarilius grahami","2018-11-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_additional_01/missing_assemblies_01/ncbi_dataset/data/GCA_003731715.1/GCA_003731715.1_BGI_Agra_1.0_genomic.fna"
"9","GCA_004119915.2","Chromosome",1098566,35919243,"Collichthys lucidus","2019-01-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_additional_01/missing_assemblies_01/ncbi_dataset/data/GCA_004119915.2/GCA_004119915.2_ASM411991v2_genomic.fna"
"10","GCA_005784505.1","Scaffold",1854961,3129371,"Bagarius yarrelli","2019-05-22","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_additional_01/missing_assemblies_01/ncbi_dataset/data/GCA_005784505.1/GCA_005784505.1_ASM578450v1_genomic.fna"
"400","GCA_000150855.1","Scaffold",1066,1329,"Mchenga conophoros","2008-07-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000150855.1/GCA_000150855.1_ASM15085v1_genomic.fna"
"200","GCA_000150875.1","Scaffold",1070,1204,"Labeotropheus fuelleborni","2008-07-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000150875.1/GCA_000150875.1_ASM15087v1_genomic.fna"
"401","GCA_000150895.1","Scaffold",977,1063,"Melanochromis auratus","2008-07-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000150895.1/GCA_000150895.1_ASM15089v1_genomic.fna"
"600","GCA_000150935.1","Scaffold",1126,1324,"Rhamphochromis esox","2008-07-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000150935.1/GCA_000150935.1_ASM15093v1_genomic.fna"
"800","GCA_000180735.1","Scaffold",29054,734039,"Tetraodon nigroviridis","2004-05-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000180735.1/GCA_000180735.1_ASM18073v1_genomic.fna"
"801","GCA_000475235.3","Scaffold",13471,116274,"Sebastes nigrocinctus","2016-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000475235.3/GCA_000475235.3_ASM47523v3_genomic.fna"
"601","GCA_000697985.1","Scaffold",1001,1586,"Pampus argenteus","2014-06-03","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000697985.1/GCA_000697985.1_PamArg1.0_genomic.fna"
"201","GCA_000776015.1","Scaffold",1416,83166,"Cyprinodon nevadensis pectoralis","2014-11-13","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000776015.1/GCA_000776015.1_ASM77601v1_genomic.fna"
"602","GCA_000787095.1","Scaffold",16946,39308,"Periophthalmodon schlosseri","2014-12-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000787095.1/GCA_000787095.1_PS.fa_genomic.fna"
"603","GCA_000787155.1","Scaffold",8806,15105,"Scartelaos histophorus","2014-12-02","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_000787155.1/GCA_000787155.1_SH.fa_genomic.fna"
